Year,Nombre de passagers,Country Name Normalized,Departs de Transporteur,fret(TonnesMbyKm),Total annual COâ‚‚ emissions from aviation,Carburant utilise,PIB
2016,29120041.0,italy,277671.0,1083.244836,11624050.0,134498.82,1887111188176.93
2017,26288001.0,italy,243811.0,1437.245062,12060305.0,147210.57,1970720904584.71
2018,27243741.0,italy,251621.0,1418.004731,13014944.0,142668.48,2099435266458.67
2019,27760301.0,italy,260599.0,1344.955151,13797322.0,154233.52,2019606796583.53
2020,7801490.0,italy,99250.0,978.76063,4511686.5,145048.31,1907481094079.23
2013,46272.0,jamaica,492.0,0.0,532224.3,113618.61,14264205152.6126
2015,92836.0,jamaica,997.0,1.396,607874.8,115377.39,14188936958.4343
2016,136744.0,jamaica,1128.0,4.506984,620830.06,121537.66,14077096714.1279
2017,151326.0,jamaica,1181.0,2.83938,649537.9,137265.63,14808985171.3441
2018,180951.272,jamaica,1215.272,4.58628,686276.5,113643.97,15730792835.5811
2013,107573000.0,japan,915542.658,7715.927,26101030.0,63817.31,5212328181166.18
2014,110547000.0,japan,927666.0,8661.758,26833504.0,71156.75,4896994405353.29
2015,114128000.0,japan,956015.0,8661.758,27395602.0,66797.89,4444930651964.18
2016,117708000.0,japan,984320.0,9360.888,27935552.0,62188.15,5003677627544.24
2017,123898000.0,japan,1035522.0,10684.574,28344838.0,72836.26,4930837369151.42
2018,126387527.0,japan,999594.0,9420.659,29116276.0,72408.48,5040880939324.86
2019,130233352.0,japan,1018436.0,8919.48,30037716.0,66981.5,5117993853016.51
2020,51131122.0,japan,659764.0,7841.508,14625888.0,71881.55,5055587093501.59
2013,3294911.0,jordan,38998.0,172.126,852174.5,66296.05,34454440140.8451
2014,3211795.0,jordan,38386.0,171.97,867918.7,62644.86,36847643521.1268
2015,3065145.0,jordan,36622.0,169.105,818739.94,64022.99,38587017887.3239
2016,3181283.0,jordan,38161.0,144.211200649,850269.0,59978.94,39892551126.7606
2017,3381677.0,jordan,36946.0,158.95506,846495.1,69896.71,41608435915.493
2018,3383805.0,jordan,36127.0,175.8386,891550.2,61317.59,43370860704.2254
2019,3478444.0,jordan,36550.0,153.56892,908919.7,58877.83,44503006338.0282
2013,4785588.0,kazakhstan,66108.0,58.199004,1067842.5,4262.12,236634603409.089
2014,4918608.0,kazakhstan,71220.0,44.61,1164055.8,4138.36,221415613595.469
2015,5081632.0,kazakhstan,72486.0,37.669008,1194497.6,4326.37,184388404706.042
2016,5007869.0,kazakhstan,73188.0,38.89446,1223728.9,4091.44,137278320084.171
2017,6903190.0,kazakhstan,83048.0,49.5077,1397944.2,4324.12,166805788827.233
2018,5920110.0,kazakhstan,66693.0,49.64306,1405344.4,4245.62,179339977690.485
2019,7656866.0,kazakhstan,89436.0,49.84901,1284657.8,4312.7,181667184854.501
2020,5282205.0,kazakhstan,55358.0,23.53957,740977.25,4009.24,171082365861.423
2013,4516500.0,kenya,98244.0,258.081012,1329224.6,91602.34,61671440407.8387
2014,4448530.52817802,kenya,90625.0,248.56658,1326594.6,94382.36,68285796514.2896
2015,4569473.0,kenya,96749.0,233.104791944,1224974.5,91461.61,70120446896.8359
2016,4848016.0,kenya,99428.0,257.576935754,1250924.4,96081.72,74815144163.8931
2017,5109576.0,kenya,117027.0,275.512276845,1357785.4,92808.58,82036510877.2599
2018,5905365.1234425,kenya,134354.484622134,295.047760350297,1454068.1,96048.14,92202979985.2863
2019,6417534.056,kenya,138192.0,320.952554616571,1133808.2,107172.06,100378436207.371
2020,1865768.0,kenya,33178.0,113.06282,568722.25,94352.98,100657505750.545
2017,3441024.0,latvia,47885.0,2.83108,306908.8,67142.69,29391059767.4259
2018,4058762.0,latvia,54356.0,4.01487,329699.0,75358.03,33247935477.3576
2019,4976410.0,latvia,61692.0,5.1637624,429453.72,74734.89,33099503950.847
2013,2744844.0,libya,32064.0,3.672312,400692.1,18354.33,75351107029.0605
2014,2391856.0,libya,26414.0,2.90666681323636,389125.9,16292.1,57372355592.022
2015,1430460.0,libya,13298.0,2.54943277629794,129587.92,17139.78,48717501321.3052
2016,1283181.0,libya,10764.0,1.37789973,140734.42,16338.83,49912073701.298
2017,1186424.0,libya,9686.0,1.236961352,129855.44,18640.37,67157452181.7738
2018,1442576.0,libya,12340.0,0.711155,103913.41,18514.77,76686029772.1483
2019,1367458.0,libya,11339.0,0.758181,78793.65,17476.36,69254496471.6938
2019,40944.0,lithuania,2506.0,0.0,341613.7,109194.79,55122066225.796
2020,35027.0,lithuania,2619.0,2.80719338834438,140523.08,106460.76,57412038533.2718
2013,47995842.0041797,malaysia,430334.457756879,2161.992838,7313033.0,75666.13,323276235524.415
2014,49673884.0,malaysia,443318.55,2193.300634,8042852.0,69982.01,338066095097.254
2015,50345820.0,malaysia,463740.0,2005.979379448,7966163.5,73271.59,301355266964.947
2016,53817353.0,malaysia,447001.0,1149.876958418,7675840.0,69853.15,301256033870.334
2017,58711937.0,malaysia,473610.67,1455.20982395985,8209377.0,78650.93,319109094160.343
2018,60481772.0,malaysia,474940.0,1359.12559,8284597.0,74890.88,358788845712.53
2019,63623130.0,malaysia,498878.0,1378.744705,8395227.0,74467.54,365177721021.516
2020,15893988.0,malaysia,167785.0,816.74595,2716705.2,81045.03,337456163961.211
2013,1318052.0,mauritius,12079.0,171.534,720057.44,73237.34,12292974141.4044
2014,1354388.0,mauritius,12131.0,192.99,757358.8,64745.67,13074129952.0532
2015,1466527.0,mauritius,12646.0,168.773,821610.25,65021.19,12007291045.6489
2016,1593666.0,mauritius,13614.0,157.239,909932.4,65764.2,12594155464.4136
2017,1674395.0,mauritius,14842.0,196.047,974948.75,68749.83,13713506130.6081
2018,1745291.0,mauritius,14940.0,233.717,984081.44,64290.03,14735695930.9727
2013,35986501.817,mexico,435792.09,677.139988908,7891406.0,17106.04,1327436290282.67
2014,39570522.0,mexico,457921.907,617.529552725,8530064.0,15088.67,1364507717614.13
2015,46966763.0,mexico,508614.0,714.003211,9291230.0,15563.72,1213294467716.88
2016,53313307.0,mexico,555984.0,760.849242,10116155.0,16154.73,1112233497452.7
2017,58537832.0,mexico,567921.0,928.83550977,10985653.0,16009.03,1190721475906.0
2018,64569640.0,mexico,583408.0,1062.987599,11804818.0,14576.32,1256300182879.73
2019,69937838.0,mexico,605632.0,1072.52473,12384220.0,17118.57,1304106203694.81
2020,34133108.0,mexico,322333.0,732.796479,7055921.0,17363.87,1121064767261.88
2013,585864.0,mongolia,4212.0,8.869308,171645.67,112559.74,12582122604.2577
2014,683254.0,mongolia,5705.56146973701,13.211711025,140009.0,125715.17,12226514668.0622
2015,529311.0,mongolia,5219.0,7.843989,104427.81,122493.6,11619892590.6941
2016,537853.0,mongolia,6009.0,8.02203384325573,103328.33,122748.4,11181350649.3573
2017,602775.0,mongolia,5277.0,8.36736,115423.586,115910.75,11480847740.736
2018,670360.0,mongolia,7777.0,7.819001,121092.64,109876.35,13178094720.4986
2013,528852.0,montenegro,7164.0,0.0,79828.85,7783.17,4465772400.37453
2013,6507408.0,morocco,68700.0,43.321464,1651575.1,47051.11,115739287305.08
2014,6976810.0,morocco,72345.0,47.000251,1774791.4,52764.69,119130841411.664
2015,7043971.0,morocco,75044.0,52.913598,1834989.5,51802.9,110413823841.592
2016,7738637.0,morocco,80085.0,53.82625368,1883372.5,52892.28,111572947004.917
2017,8667392.0,morocco,86735.0,77.93581,2085549.8,50979.09,118540573367.844
2018,8132917.0,morocco,80154.0,97.71152,2277299.2,55271.95,127341147581.818
2019,9380951.0,morocco,91254.0,102.19214,2385452.5,51203.41,128920266409.458
2013,1572120.0,myanmar,38028.0,2.861556,346128.34,14004.63,60269732854.827
2014,1926969.0,myanmar,49599.0,3.90162,363833.56,13025.85,65531374199.6742
2015,2095503.0,myanmar,51652.0,3.3857879,481441.16,14848.81,59607290407.5944
2016,2741388.0,myanmar,65643.0,5.065285902,592371.4,15041.82,63298361996.2153
2017,3149037.0,myanmar,62480.0,4.83393550069972,680870.9,12794.22,66053040483.0016
2018,3407788.43290303,myanmar,64397.9644896858,4.74216559835534,629235.3,14042.17,67860515989.517
2019,3701663.849,myanmar,64320.0,8.30683,570156.44,13346.51,75065106227.6892
2013,510000.0,namibia,8568.0,0.677064,146504.39,144924.91,12043307277.1235
2014,522216.0,namibia,9197.0,34.36805,141736.12,155114.37,12435430969.6301
2015,553322.0,namibia,10606.0,30.302405,167084.88,137299.6,11335161083.5061
2016,558713.0,namibia,11759.0,21.084889,174579.03,152970.89,10722018732.0936
2017,623076.0,namibia,13876.0,22.206886,240756.17,139842.58,12895153370.9132
2018,602893.0,namibia,14543.0,26.293869,254289.88,134209.3,13682019076.4022
2019,212578.0,namibia,1806.0,6.900144,183267.84,154188.83,12541928303.48
2013,4209624.0,nigeria,59182.0,12.1983521811429,1652222.0,143322.21,520117180313.906
2014,4462001.62973012,nigeria,61512.4529493388,12.1983521811429,1757834.5,133583.0,574183763411.508
2015,4613169.0,nigeria,61474.0,24.8019639339246,1690663.9,149535.05,493026682800.63
2016,4110075.0,nigeria,53971.0,24.161930857,1462608.5,128309.85,404649125252.16
2017,4789878.0,nigeria,53696.0,22.0015460675581,1314797.1,137445.97,375745731053.427
2018,7786143.99416227,nigeria,75594.726523888,19.7929720673716,1482698.4,154223.01,421739251509.08
2019,6539048.35309011,nigeria,68734.0,1.84341946,1167243.6,144850.56,474517490844.461
2020,3435350.518,nigeria,51519.349,1.683881,551366.44,152446.21,432198898467.795
2013,4994729.0,oman,46816.0,251.141,961515.2,139683.13,89936020806.2419
2014,5051804.0,oman,47126.0,291.939,991853.9,138220.57,92699089726.9181
2015,6365784.0,oman,56544.0,412.234008,1246875.4,141935.86,78710793237.9714
2016,7709851.0,oman,61956.0,425.202175,1430721.2,132904.69,75128738621.5865
2017,9035230.0,oman,71293.0,434.92173,1705861.9,134052.67,80856697009.1027
2018,10438241.0,oman,76672.0,510.425983,1818742.4,135904.08,91505851755.5267
2019,11239996.0,oman,79436.0,566.923,1804981.0,132355.41,88060858257.4772
2020,2496069.0,oman,19013.0,51.918137,489220.22,141843.13,75909492847.8544
2013,7833901.08773203,pakistan,61820.0,292.760800570437,1921941.8,95997.38,258657231672.412
2014,7670348.18543139,pakistan,57956.0,204.623134285262,1832829.6,114876.59,271390474857.632
2015,8467827.0,pakistan,65749.0,183.17731267,2043151.9,110298.96,299963590534.773
2016,9628354.0,pakistan,70005.0,175.4744,2228623.2,111413.75,313630000130.435
2017,7260769.0,pakistan,51019.0,214.52857,2333012.5,110268.93,339205534861.1
2018,6880637.0,pakistan,48542.0,217.534134,2342934.8,96167.75,356128166704.921
2019,7420378.249,pakistan,49749.0,192.977927,2170632.2,104600.9,320909472770.669
2020,3711456.87,pakistan,27903.88,95.88035,1147595.2,103844.52,300425609817.981
2013,11656416.0,panama,135428.0,147.711511102115,1409113.6,100485.05,46949496500.0
2014,11812712.8383915,panama,132689.724774874,134.10594055287,1612576.5,105674.57,51427104900.0
2015,12193261.0,panama,137955.0,121.567074708,1745233.0,105214.3,55767806100.0
2016,13285098.0,panama,143126.0,126.052370637,1841383.8,105529.09,59760858700.0
2017,11975372.0,panama,112742.0,45.776862,1930883.2,103934.16,64327688800.0
2018,12631703.0,panama,111583.0,64.710714,2008983.6,94439.05,67316471200.0
2019,12497758.0,panama,110042.0,94.840477,2044128.1,106821.6,69778991200.0
2020,3074172.0,panama,32578.0,73.431132,670327.8,107232.64,57059846500.0
2013,711548.47,paraguay,6408.0,0.0,98411.78,15430.1,38501122141.4241
2014,608844.0,paraguay,5496.0,2.085996,111384.22,16293.95,40377929295.6419
2015,452004.0,paraguay,4116.0,1.641624,96854.414,15693.6,36211447840.0971
2016,467713.0,paraguay,3864.0,1.774534,123387.54,17789.6,36089700222.9461
2017,454276.0,paraguay,3454.0,1.857094,149265.94,17050.33,38997129473.5558
2018,710407.0,paraguay,10160.0,1.970266,170988.28,17348.6,40225448340.6322
2019,632389.0,paraguay,8090.0,1.842301,142134.2,16687.48,37925338329.1494
2020,131713.0,paraguay,1747.0,0.478,45663.273,15340.29,35432178068.1814
2013,12255937.7629497,peru,115817.396352206,334.880485681557,2395964.2,36508.95,201175543571.392
2014,12284677.0,peru,117800.0,295.31226543068,2448630.0,34573.64,200786250582.943
2015,13877662.0,peru,129786.0,329.568817319152,2584904.0,33299.8,189802976285.619
2016,15081755.0,peru,129880.0,276.1751,2839795.0,38479.47,191898104390.379
2017,16094150.0,peru,130792.0,316.825703,2980733.0,38446.49,211007984080.911
2018,17758527.272,peru,141025.363,313.264641181,3167237.0,35543.46,222597009739.235
2019,18820572.0,peru,141311.0,340.335049,2812679.5,39319.02,228346006003.648
2020,5705074.0,peru,42395.999,96.451838,953293.25,36264.95,201409694755.934
2013,25540880.0,philippines,200532.0,325.682352,4766493.0,134056.42,283902828581.65
2014,34897404.0,philippines,287460.0,577.474932,4954307.0,132080.05,297483555344.802
2015,37023422.0,philippines,325859.0,604.508812,5157558.5,122194.05,306445871246.718
2016,40206684.0,philippines,345482.0,665.124567915,5653291.0,130741.6,318627003012.52
2017,39341995.0,philippines,273159.0,753.351739,6164551.0,140226.71,328480736798.792
2018,43080118.0,philippines,292450.0,835.904513,6499220.5,124904.42,346841896583.515
2019,47776892.0,philippines,320569.0,926.888641,6809604.0,139616.17,376823402244.928
2020,10613531.0,philippines,88024.0,360.409324,2462166.2,140598.76,361751145451.597
2013,5002975.74866764,poland,83336.0,97.64576278,1393346.9,52677.65,518179836405.36
2014,5038745.42598332,poland,77094.0,120.85182858,1446165.2,54874.44,542134167178.627
2015,4448883.0,poland,68326.0,114.791591876,1581522.4,46504.63,480054118583.367
2016,5497163.0,poland,84075.0,155.552044,1855305.8,54664.73,473259583969.643
2017,7376512.0,poland,106424.0,221.814,2217578.5,47674.87,528356676667.211
2018,9277538.0,poland,123903.0,271.488,2614434.2,54371.84,594616687350.017
2019,10225516.0,poland,131419.0,317.866,3012347.5,52515.49,602683770144.88
2020,2686258.0,poland,48381.0,140.556639,1242958.8,49234.95,605914237903.742
2013,11860998.0,portugal,158096.0,319.454636,3065104.0,25064.29,226677408291.745
2014,12635439.0,portugal,157702.0,348.67247,3260431.0,26101.04,230078616299.675
2015,12706909.0,portugal,160003.0,343.964162,3457172.0,25974.44,199038523119.639
2016,13105120.0,portugal,154448.0,327.012274,3809848.5,25029.49,206305431241.638
2017,15937325.0,portugal,170444.0,421.8294532,4301552.5,26630.66,220862990767.229
2018,17367956.0,portugal,182753.0,454.209368,4710623.0,24842.47,242092894542.888
2019,22047878.978,portugal,186711.0,536.98922,5087823.0,22928.79,240115970063.019
2020,6219531.061,portugal,73742.363,280.010031636,2008937.4,24058.67,229618773422.577
2013,3087143.0,romania,43956.0,5.25614,723209.4,94257.6,189798603751.235
2014,3067724.4,romania,42249.8,5.2917,790918.5,105325.39,199722319675.741
2015,3634598.0,romania,45596.0,4.7179,882743.5,104156.07,177885131240.315
2016,3686938.0,romania,46733.0,4.2237,1057415.9,89180.5,185290759248.844
2017,4423249.0,romania,52063.0,2.8045,1238982.9,93892.43,210147385855.419
2018,4908235.0,romania,55637.0,2.71,1311374.8,95171.8,243468683030.34
2019,5630289.0,romania,58509.0,3.334,1333929.9,97077.87,251677082534.495
2020,1786407.0,romania,22125.0,0.889334,601036.75,101286.63,252033792712.145
2013,28252104.0,saudi arabia,216636.0,1694.372004,6393123.0,20806.3,753864533333.333
2014,32269452.0,saudi arabia,232908.0,1599.921996,7399462.5,20444.27,766605866666.667
2015,33431736.0,saudi arabia,236468.0,826.83,7983059.0,19845.4,669484266666.667
2016,35092840.0,saudi arabia,256635.0,833.991,8875366.0,18490.17,666000000000.0
2017,37503000.0,saudi arabia,270924.0,867.640758,9428761.0,19972.99,714994666666.667
2018,39767648.0,saudi arabia,267295.0,1085.47,9462851.0,20031.89,846583733333.333
2019,46181487.0,saudi arabia,317209.0,2043.245359,9278226.0,18820.29,838564800000.0
2020,20968865.89,saudi arabia,144771.0,581.5205976,3429559.0,17806.37,734271200000.0
2013,219996.0,senegal,5808.0,4.47306,460889.06,131260.01,18918667724.8817
2014,131964.0,senegal,4044.0,3.578448,461815.12,139302.82,19797253440.2679
2015,115355.0,senegal,3656.0,3.09552348483269,398505.56,125806.64,17774766696.1759
2016,9874.0,senegal,582.0,0.133149772,388669.22,134738.18,19040312333.1864
2017,21038.0,senegal,1087.0,0.041650904321273,415175.12,130435.35,20996562943.5979
2018,278438.288559913,senegal,5817.0,0.0,422940.12,129199.63,23116701556.1381
2019,457722.0,senegal,10215.0,2.091018,450479.34,122441.08,23403995992.1354
2020,271331.0,senegal,4377.0,2.573077,292764.4,125552.0,24530513037.7518
2019,43050722.0,singapore,215014.0,6411.98982815646,12750403.0,80344.39,376901649222.451
2020,7884373.0,singapore,64267.0,3019.926083,4147133.8,72014.12,349488382610.662
2013,16311250.0,south africa,184763.0,1122.986468,5606511.5,104996.45,400886013595.573
2014,17026643.2191223,south africa,199600.522813668,1042.73626391249,5716895.5,100776.85,381198869776.106
2015,18882898.0,south africa,209734.0,892.734324084,5889399.5,106067.29,346709790458.563
2016,19744932.0,south africa,212865.0,767.271186,6043765.5,112759.85,323585509674.481
2017,20821044.0,south africa,216275.0,833.347947527025,6200163.5,105730.74,381448814653.456
2018,24660386.0,south africa,234156.0,696.730006,6177147.5,113669.57,405260723892.517
2019,26211258.0,south africa,248747.0,565.20947,6112908.0,102497.1,389330032224.269
2020,8304771.044,south africa,88578.633,102.392463,2283570.0,108691.42,337974655408.055
2013,48056735.818,spain,465558.909,957.997754181,14507872.0,7965.93,1362186923157.65
2014,53069339.0,spain,486353.8,962.636446,14939130.0,7593.04,1380244561361.96
2015,60564041.0,spain,534895.0,1035.487113,15871504.0,6816.88,1206164777553.12
2016,66674868.0,spain,566775.0,1068.160640636,17596844.0,7228.26,1243015667917.12
2017,71598374.0,spain,579842.0,1078.63356,18869764.0,7618.08,1321754088818.83
2018,80706703.0,spain,641097.0,1118.73285,19900810.0,7970.82,1431642809327.06
2019,88237165.272,spain,677578.545,1191.466578,20727732.0,6889.17,1403496387686.27
2020,26557077.999,spain,261972.271,494.260587847,7315300.5,7639.6,1289783836971.21
2013,4793393.4,sri lanka,32636.4,385.12,1163198.8,124153.56,77000578167.353
2014,4756131.0,sri lanka,37517.0,384.70865414,1267645.0,130949.14,82528535713.926
2015,4911730.0,sri lanka,37598.0,381.6320526,1369010.9,110294.21,85140955388.8509
2016,5284585.0,sri lanka,40711.0,403.075583974751,1444112.6,115166.12,88012282205.8357
2017,5403577.0,sri lanka,41012.0,398.473464249,1476627.2,130654.78,94376237797.2367
2018,5882376.0,sri lanka,34425.0,436.198,1614050.5,126936.32,94493871200.7869
2013,541644.0,sudan,9432.0,12.415236,351715.97,147341.43,43024018082.1918
2014,501864.0,sudan,6852.0,11.895,299065.56,148036.05,49516748617.9775
2015,496177.0,sudan,6021.0,7.44532026283296,348679.7,124912.76,51726758676.7677
2016,292843.0,sudan,3165.0,5.1483685301,394853.1,123052.19,42630376000.0
2017,557792.04,sudan,5831.0,5.6883385341,443614.25,123130.93,41283617976.1905
2018,561520.0,sudan,3178.0,0.85847,420153.12,121549.94,32333780383.2924
2019,530001.0,sudan,3116.0,0.0755,210002.33,147317.2,32338079165.2893
2013,51925707.0,sweden,696120.0,592.0,2318426.2,67230.02,584128116410.29
2014,57789383.0,sweden,686943.0,686.0,2461202.0,63681.93,577730245154.162
2015,58636668.0,sweden,667747.0,594.0,2577659.5,75714.17,501698263620.663
2016,55672453.0,sweden,649749.0,690.0,2877673.5,74115.76,514218206628.325
2017,51825549.0,sweden,595624.0,762.0,3098639.0,67911.05,536083940228.684
2018,51473905.0,sweden,577408.0,991.0,3178204.2,74475.06,551312498430.164
2019,50957868.602,sweden,560422.19,985.655671715528,3091396.0,67839.38,532169294165.94
2020,14105839.7975,sweden,168010.186,304.418496636947,1021854.75,67603.77,545147614972.141
2013,27503416.0,switzerland,266128.0,1444.374258,4834855.0,152652.76,706234937370.968
2014,27923164.0,switzerland,263267.0,1508.892548,4957019.5,140016.68,726537808338.0
2015,27011762.0,switzerland,250094.0,1409.329209,5170260.5,151956.49,694118186379.628
2016,25859918.0,switzerland,229530.0,1532.761243,5490476.0,150174.39,687895460902.713
2017,26732570.0,switzerland,216436.0,1581.35236,5611548.0,139862.75,695200833086.499
2018,28857994.0,switzerland,219782.0,1841.314,5833937.5,135813.39,725568717468.001
2019,30339654.0,switzerland,225755.0,1640.735,5628150.0,145223.15,721369112726.724
2020,9009607.2,switzerland,81283.2,842.992,2173377.2,138123.84,741999406005.627
2013,683060.157492914,tajikistan,6263.0,0.4757,215344.28,131086.82,8448411318.25417
2014,1064176.32798727,tajikistan,7985.0,2.954004,271957.1,150204.02,9112605459.32845
2015,1034477.0,tajikistan,6884.0,5.27238131829056,266351.22,152931.43,8271431485.07484
2016,1037897.0,tajikistan,6472.0,4.92143181707628,235829.45,152989.59,6992416096.89018
2017,580374.0,tajikistan,4135.0,2.89861,234776.66,127163.57,7536402852.85802
2018,492320.0,tajikistan,4021.0,2.337,227033.27,127716.2,7764999999.45362
2019,539094.616,tajikistan,4283.0,2.5060054231253,210003.36,126265.01,8300813599.3084
2013,1173942.818,tanzania,27625.772,0.003641454,421416.44,9821.06,45648857242.315
2014,1124913.454,tanzania,31106.181,0.564368726,414392.75,9948.39,49986726460.6805
2015,1312807.0,tanzania,35374.0,2.213882,511782.8,11172.8,47413919817.124
2016,1179664.0,tanzania,27422.0,0.536721,520978.38,10196.15,49774409374.4538
2017,1221678.0,tanzania,47741.0,0.281228,531904.9,9789.05,53274884532.7886
2018,1698386.0,tanzania,90017.0,0.487269,587135.5,10249.52,57003712892.0858
2019,1498093.0,tanzania,91864.0,0.962933,421789.8,10537.06,61026731925.9213
2020,823670.0,tanzania,42693.0,0.857297,216339.64,9446.93,66068737786.0639
2013,43029150.6,thailand,298450.0,2640.367634,11473866.0,122231.08,420333654592.547
2014,46546612.484507,thailand,338053.981662592,2524.64667,11821322.0,122055.32,407339040197.651
2015,56447637.0,thailand,392664.0,2136.72847939514,13119088.0,123111.76,401296238228.084
2016,62341676.0,thailand,413880.0,2160.069653102,14094117.0,111494.57,413366349747.508
2017,70704889.0,thailand,448477.0,2511.891367964,14739546.0,112909.71,456356813536.764
2018,76053042.754,thailand,475886.496,2666.263256,15812476.0,105093.79,506754208404.485
2019,76344410.0,thailand,483580.0,2327.667095,15460242.0,107930.93,543976691793.886
2020,28179302.666,thailand,224142.333,684.208676,5667787.5,124957.44,500461898480.246
2013,4648608.0,tunisia,48804.0,14.683452,731845.06,3498.65,48685446413.953
2014,4628511.0,tunisia,60419.0,13.28618,667704.4,3186.86,50271812920.612
2015,3496190.0,tunisia,35540.0,10.35424112,596331.8,3350.11,45779494041.9295
2016,3606247.0,tunisia,38631.0,8.096,512840.03,3603.66,44360072680.4476
2017,3963968.0,tunisia,39856.0,12.124027,606404.6,3361.58,42163530590.9462
2018,4274199.0,tunisia,41446.0,13.234265,759111.5,3344.03,42686504459.801
2019,4335325.0,tunisia,36763.0,13.092473,789987.4,3569.01,41905642418.825
2020,1381745.0,tunisia,14170.0,6.546656,259892.72,3421.77,42491780918.361
2015,897079.0,turkmenistan,8548.0,4.81185528988917,200263.72,28161.99,35799714285.7143
2016,1318350.0,turkmenistan,12890.0,5.953543762,251382.94,28109.53,36169428571.4286
2017,2136219.0,turkmenistan,16843.0,19.484,231179.52,29739.11,37926285714.2857
2018,2457474.0,turkmenistan,18184.0,16.916,258753.62,27583.53,40765428571.4286
2019,2081424.32,turkmenistan,17075.0,16.55784,171464.06,29095.45,45232857142.8571
2013,198804.0,uganda,8616.0,0.86022,238818.88,142035.99,28915786516.6123
2014,163824.0,uganda,6864.0,0.670884,243410.86,155406.54,32612397257.4458
2015,41812.0,uganda,2332.0,0.023472,232251.52,146334.11,32387183730.1002
2016,52187.0,uganda,3828.0,0.02300256,207522.9,141765.54,29203988696.2626
2018,21212.0,uganda,3777.0,0.0,265739.44,132063.12,32927025619.6795
2013,5218814.574,ukraine,58474.09,14.3835,975204.56,60373.45,190498811460.028
2014,4503610.0,ukraine,47927.4,22.0855,922961.56,66111.93,133503871861.723
2015,4620530.0,ukraine,45688.0,37.7408652,959865.75,65746.61,91030967789.0717
2016,5756509.0,ukraine,55261.0,40.459830355,1100423.1,70270.13,93355869403.9223
2017,6794396.0,ukraine,63315.0,53.792982,1312442.4,62986.08,112090505081.739
2018,7854842.0,ukraine,66712.0,75.26435,1501824.6,64770.65,130891088293.55
2019,7604522.332,ukraine,62113.332,75.617661,1327553.1,62767.74,153883047509.577
2020,1801014.0,ukraine,20436.0,14.0479,572058.4,68677.11,156617722013.342
2013,743171000.0,united states,9745498.0,37113.5589216014,155853250.0,102874.0,16880683000000.0
2014,762710000.0,united states,9556324.0,38225.1960889445,159522130.0,98193.66,17608138000000.0
2015,798222000.0,united states,9498668.0,37866.224512,166228670.0,107532.2,18295019000000.0
2016,824039000.0,united states,9640591.0,38657.919041,173278140.0,94612.19,18804913000000.0
2017,849403000.0,united states,9639096.0,41591.551767,178136000.0,96630.28,19612102000000.0
2018,889024000.0,united states,9880509.0,42985.299596,184357500.0,97596.26,20656516000000.0
2019,926737000.0,united states,10099031.0,42498.262662,201470910.0,95633.43,21539982000000.0
2020,369501000.0,united states,6175504.0,40793.094662,111390420.0,93434.13,21354105000000.0
2013,2614085.0,uzbekistan,23962.0,99.00415,582520.6,6381.71,73180037914.9104
2014,2545935.0,uzbekistan,23149.0,110.23607,579145.44,6387.88,80845385809.4529
2015,2486673.0,uzbekistan,22579.0,114.33452,537209.75,6463.13,86196264755.3105
2016,2383631.0,uzbekistan,21486.0,112.28173,503151.44,6223.74,86138288644.171
2017,2581865.0,uzbekistan,21730.0,126.79762,515260.8,6390.04,69703222282.7278
2018,3056558.0,uzbekistan,21514.0,89.43028,633487.4,6498.06,58695899092.1083
2019,3685192.0,uzbekistan,25300.0,70.49835,796710.06,5963.92,67293639798.3996
